Index,Prime,Time,OriginalTime
489,3499,0,354
490,3511,0,354
491,3517,0,354
492,3527,0,354
493,3529,0,354
494,3533,0,354
495,3539,0,354
496,3541,0,354
497,3547,0,354
498,3557,0,354
499,3559,0,354
500,3571,0,354
501,3581,0,354
502,3583,0,354
503,3593,0,354
504,3607,0,354
505,3613,0,354
506,3617,0,354
507,3623,0,354
508,3631,0,354
509,3637,0,354
510,3643,0,354
511,3659,0,354
512,3671,0,354
513,3673,0,354
514,3677,0,354
515,3691,0,354
516,3697,0,354
517,3701,0,354
518,3709,0,354
519,3719,0,354
520,3727,0,354
521,3733,0,354
522,3739,0,354
523,3761,0,354
524,3767,0,354
525,3769,0,354
526,3779,0,354
527,3793,0,354
528,3797,0,354
529,3803,0,354
530,3821,0,354
531,3823,0,354
532,3833,0,354
533,3847,0,354
534,3851,0,354
535,3853,0,354
536,3863,0,354
537,3877,0,354
538,3881,0,354
539,3889,0,354
540,3907,0,354
541,3911,0,354
542,3917,0,354
543,3919,0,354
544,3923,0,354
545,3929,0,354
546,3931,0,354
547,3943,0,354
548,3947,0,354
549,3967,0,354
550,3989,0,354
551,4001,0,354
552,4003,0,354
553,4007,0,354
554,4013,0,354
555,4019,0,354
556,4021,0,354
557,4027,0,354
558,4049,0,354
559,4051,0,354
560,4057,0,354
561,4073,0,354
562,4079,0,354
563,4091,0,354
564,4093,0,354
565,4099,0,354
566,4111,1,355
567,4127,1,355
568,4129,1,355
569,4133,1,355
570,4139,1,355
571,4153,1,355
572,4157,1,355
573,4159,1,355
574,4177,1,355
575,4201,1,355
576,4211,1,355
577,4217,1,355
578,4219,1,355
579,4229,1,355
580,4231,1,355
581,4241,1,355
582,4243,1,355
583,4253,1,355
584,4259,1,355
585,4261,1,355
586,4271,1,355
587,4273,1,355
588,4283,1,355
589,4289,1,355
590,4297,1,355
591,4327,1,355
592,4337,1,355
593,4339,1,355
594,4349,1,355
595,4357,1,355
596,4363,1,355
597,4373,1,355
598,4391,1,355
599,4397,1,355
600,4409,1,355
601,4421,1,355
602,4423,1,355
603,4441,1,355
604,4447,1,355
605,4451,1,355
606,4457,1,355
607,4463,1,355
608,4481,1,355
609,4483,1,355
610,4493,1,355
611,4507,1,355
612,4513,1,355
613,4517,1,355
614,4519,1,355
615,4523,1,355
616,4547,1,355
617,4549,1,355
618,4561,1,355
619,4567,1,355
620,4583,1,355
621,4591,1,355
622,4597,1,355
623,4603,1,355
624,4621,1,355
625,4637,1,355
626,4639,1,355
627,4643,1,355
628,4649,1,355
629,4651,1,355
630,4657,1,355
631,4663,1,355
632,4673,1,355
633,4679,1,355
634,4691,1,355
635,4703,1,355
636,4721,1,355
637,4723,1,355
638,4729,1,355
639,4733,1,355
640,4751,1,355
641,4759,1,355
642,4783,1,355
643,4787,1,355
644,4789,1,355
645,4793,1,355
646,4799,1,355
647,4801,1,355
648,4813,1,355
649,4817,1,355
650,4831,1,355
651,4861,1,355
652,4871,1,355
653,4877,1,355
654,4889,1,355
655,4903,1,355
656,4909,1,355
657,4919,1,355
658,4931,1,355
659,4933,1,355
660,4937,1,355
661,4943,1,355
662,4951,1,355
663,4957,1,355
664,4967,1,355
665,4969,1,355
666,4973,1,355
667,4987,1,355
668,4993,1,355
669,4999,1,355
670,5003,1,355
671,5009,1,355
672,5011,1,355
673,5021,1,355
674,5023,1,355
675,5039,1,355
676,5051,1,355
677,5059,1,355
678,5077,1,355
679,5081,1,355
680,5087,1,355
681,5099,1,355
682,5101,1,355
683,5107,1,355
684,5113,1,355
685,5119,1,355
686,5147,1,355
687,5153,1,355
688,5167,1,355
689,5171,1,355
690,5179,1,355
691,5189,1,355
692,5197,1,355
693,5209,1,355
694,5227,1,355
695,5231,1,355
696,5233,1,355
697,5237,1,355
698,5261,1,355
699,5273,1,355
700,5279,1,355
701,5281,1,355
702,5297,1,355
703,5303,1,355
704,5309,1,355
705,5323,1,355
706,5333,1,355
707,5347,1,355
708,5351,1,355
709,5381,1,355
710,5387,1,355
711,5393,1,355
712,5399,1,355
713,5407,1,355
714,5413,1,355
715,5417,1,355
716,5419,1,355
717,5431,1,355
718,5437,1,355
719,5441,1,355
720,5443,1,355
721,5449,1,355
722,5471,1,355
723,5477,1,355
724,5479,1,355
725,5483,1,355
726,5501,1,355
727,5503,1,355
728,5507,1,355
729,5519,1,355
730,5521,1,355
731,5527,1,355
732,5531,1,355
733,5557,1,355
734,5563,1,355
735,5569,1,355
736,5573,1,355
737,5581,1,355
738,5591,1,355
739,5623,1,355
740,5639,1,355
741,5641,1,355
742,5647,1,355
743,5651,1,355
744,5653,1,355
745,5657,1,355
746,5659,1,355
747,5669,1,355
748,5683,1,355
749,5689,1,355
750,5693,1,355
751,5701,1,355
752,5711,1,355
753,5717,1,355
754,5737,1,355
755,5741,1,355
756,5743,1,355
757,5749,1,355
758,5779,1,355
759,5783,1,355
760,5791,1,355
761,5801,1,355
762,5807,1,355
763,5813,1,355
764,5821,1,355
765,5827,1,355
766,5839,1,355
767,5843,1,355
768,5849,1,355
769,5851,1,355
770,5857,1,355
771,5861,1,355
772,5867,1,355
773,5869,1,355
774,5879,1,355
775,5881,1,355
776,5897,1,355
777,5903,1,355
778,5923,1,355
779,5927,1,355
780,5939,1,355
781,5953,1,355
782,5981,1,355
783,5987,1,355
784,6007,1,355
785,6011,1,355
786,6029,1,355
787,6037,1,355
788,6043,1,355
789,6047,1,355
790,6053,1,355
791,6067,1,355
792,6073,1,355
793,6079,1,355
794,6089,1,355
795,6091,1,355
796,6101,1,355
797,6113,1,355
798,6121,1,355
799,6131,1,355
800,6133,1,355
801,6143,1,355
802,6151,1,355
803,6163,1,355
804,6173,1,355
805,6197,1,355
806,6199,1,355
807,6203,1,355
808,6211,1,355
809,6217,1,355
810,6221,1,355
811,6229,1,355
812,6247,1,355
813,6257,1,355
814,6263,1,355
815,6269,1,355
816,6271,1,355
817,6277,1,355
818,6287,1,355
819,6299,1,355
820,6301,1,355
821,6311,1,355
822,6317,1,355
823,6323,1,355
824,6329,1,355
825,6337,1,355
826,6343,1,355
827,6353,1,355
828,6359,1,355
829,6361,1,355
830,6367,1,355
831,6373,1,355
832,6379,1,355
833,6389,1,355
834,6397,1,355
835,6421,1,355
836,6427,1,355
837,6449,1,355
838,6451,1,355
839,6469,1,355
840,6473,1,355
841,6481,1,355
842,6491,1,355
843,6521,1,355
844,6529,1,355
845,6547,1,355
846,6551,1,355
847,6553,1,355
848,6563,1,355
849,6569,1,355
850,6571,1,355
851,6577,1,355
852,6581,1,355
853,6599,1,355
854,6607,1,355
855,6619,1,355
856,6637,1,355
857,6653,1,355
858,6659,1,355
859,6661,1,355
860,6673,1,355
861,6679,1,355
862,6689,1,355
863,6691,1,355
864,6701,1,355
865,6703,1,355
866,6709,1,355
867,6719,1,355
868,6733,1,355
869,6737,1,355
870,6761,1,355
871,6763,1,355
872,6779,1,355
873,6781,1,355
874,6791,1,355
875,6793,1,355
876,6803,1,355
877,6823,1,355
878,6827,1,355
879,6829,1,355
880,6833,1,355
881,6841,1,355
882,6857,1,355
883,6863,1,355
884,6869,1,355
885,6871,1,355
886,6883,1,355
887,6899,1,355
888,6907,1,355
889,6911,1,355
890,6917,1,355
891,6947,1,355
892,6949,1,355
893,6959,1,355
894,6961,1,355
895,6967,1,355
896,6971,1,355
897,6977,1,355
898,6983,1,355
899,6991,1,355
900,6997,1,355
901,7001,1,355
902,7013,1,355
903,7019,1,355
904,7027,1,355
905,7039,1,355
906,7043,1,355
907,7057,1,355
908,7069,1,355
909,7079,1,355
910,7103,1,355
911,7109,1,355
912,7121,1,355
913,7127,1,355
914,7129,1,355
915,7151,1,355
916,7159,1,355
917,7177,1,355
